2020-02-19 07:43:38 install netbase:all <none> 5.6
2020-02-19 07:43:38 status half-installed netbase:all 5.6
2020-02-19 07:43:38 status unpacked netbase:all 5.6
2020-02-19 07:43:38 install sensible-utils:all <none> 0.0.12
2020-02-19 07:43:38 status half-installed sensible-utils:all 0.0.12
2020-02-19 07:43:38 status unpacked sensible-utils:all 0.0.12
2020-02-19 07:43:38 install ucf:all <none> 3.0038+nmu1
2020-02-19 07:43:38 status half-installed ucf:all 3.0038+nmu1
2020-02-19 07:43:38 status unpacked ucf:all 3.0038+nmu1
2020-02-19 07:43:38 install acl:amd64 <none> 2.2.53-4
2020-02-19 07:43:38 status half-installed acl:amd64 2.2.53-4
2020-02-19 07:43:38 status unpacked acl:amd64 2.2.53-4
2020-02-19 07:43:38 install libapr1:amd64 <none> 1.6.5-1+b1
2020-02-19 07:43:38 status half-installed libapr1:amd64 1.6.5-1+b1
2020-02-19 07:43:38 status unpacked libapr1:amd64 1.6.5-1+b1
2020-02-19 07:43:38 install libaprutil1:amd64 <none> 1.6.1-4
2020-02-19 07:43:38 status half-installed libaprutil1:amd64 1.6.1-4
2020-02-19 07:43:38 status unpacked libaprutil1:amd64 1.6.1-4
2020-02-19 07:43:38 install apache2-utils:amd64 <none> 2.4.38-3+deb10u3
2020-02-19 07:43:38 status half-installed apache2-utils:amd64 2.4.38-3+deb10u3
2020-02-19 07:43:38 status unpacked apache2-utils:amd64 2.4.38-3+deb10u3
2020-02-19 07:43:38 install libpaper1:amd64 <none> 1.1.28
2020-02-19 07:43:38 status half-installed libpaper1:amd64 1.1.28
2020-02-19 07:43:38 status unpacked libpaper1:amd64 1.1.28
2020-02-19 07:43:38 install enscript:amd64 <none> 1.6.5.90-3
2020-02-19 07:43:38 status half-installed enscript:amd64 1.6.5.90-3
2020-02-19 07:43:38 status unpacked enscript:amd64 1.6.5.90-3
2020-02-19 07:43:38 install fonts-dejavu-core:all <none> 2.37-1
2020-02-19 07:43:38 status half-installed fonts-dejavu-core:all 2.37-1
2020-02-19 07:43:38 status unpacked fonts-dejavu-core:all 2.37-1
2020-02-19 07:43:38 install fontconfig-config:all <none> 2.13.1-2
2020-02-19 07:43:38 status half-installed fontconfig-config:all 2.13.1-2
2020-02-19 07:43:38 status unpacked fontconfig-config:all 2.13.1-2
2020-02-19 07:43:38 install libaio1:amd64 <none> 0.3.112-3
2020-02-19 07:43:38 status half-installed libaio1:amd64 0.3.112-3
2020-02-19 07:43:38 status unpacked libaio1:amd64 0.3.112-3
2020-02-19 07:43:38 install libapparmor1:amd64 <none> 2.13.2-10
2020-02-19 07:43:38 status half-installed libapparmor1:amd64 2.13.2-10
2020-02-19 07:43:38 status unpacked libapparmor1:amd64 2.13.2-10
2020-02-19 07:43:38 install libargon2-1:amd64 <none> 0~20171227-0.2
2020-02-19 07:43:38 status half-installed libargon2-1:amd64 0~20171227-0.2
2020-02-19 07:43:38 status unpacked libargon2-1:amd64 0~20171227-0.2
2020-02-19 07:43:38 install libbsd0:amd64 <none> 0.9.1-2
2020-02-19 07:43:38 status half-installed libbsd0:amd64 0.9.1-2
2020-02-19 07:43:38 status unpacked libbsd0:amd64 0.9.1-2
2020-02-19 07:43:38 install libconfig-inifiles-perl:all <none> 3.000001-1
2020-02-19 07:43:38 status half-installed libconfig-inifiles-perl:all 3.000001-1
2020-02-19 07:43:38 status unpacked libconfig-inifiles-perl:all 3.000001-1
2020-02-19 07:43:38 install libkeyutils1:amd64 <none> 1.6-6
2020-02-19 07:43:38 status half-installed libkeyutils1:amd64 1.6-6
2020-02-19 07:43:38 status unpacked libkeyutils1:amd64 1.6-6
2020-02-19 07:43:38 install libkrb5support0:amd64 <none> 1.17-3
2020-02-19 07:43:38 status half-installed libkrb5support0:amd64 1.17-3
